Date,City,Confirmed,OBJECTID
11/16/2020,Aqaba,281,2
11/17/2020,Amman,2641,4
11/17/2020,Zarqa,356,6
11/17/2020,Jerash,47,12
11/17/2020,irbid ,1131,7
11/17/2020,Madaba,214,3
11/17/2020,Ajloun,590,9
11/17/2020,Karak,110,11
11/17/2020,Balqa,371,8
11/17/2020,Maan,205,1
11/17/2020,Mafraq,418,10
11/17/2020,Tafilah,157,5
11/17/2020,Aqaba,214,2
11/18/2020,Amman,2412,4
11/18/2020,Zarqa,522,6
11/18/2020,Jerash,708,12
11/18/2020,irbid ,998,7
11/18/2020,Madaba,281,3
11/18/2020,Ajloun,47,9
11/18/2020,Karak,347,11
11/18/2020,Balqa,379,8
11/18/2020,Maan,144,1
11/18/2020,Mafraq,127,10
11/18/2020,Tafilah,65,5
11/18/2020,Aqaba,1893,2
11/19/2020,Amman,2378,4
11/19/2020,Zarqa,353,6
11/19/2020,Jerash,223,12
11/19/2020,irbid ,670,7
11/19/2020,Madaba,52,3
11/19/2020,Ajloun,372,9
11/19/2020,Karak,332,11
11/19/2020,Balqa,495,8
11/19/2020,Maan,167,1
11/19/2020,Mafraq,169,10
11/19/2020,Tafilah,96,5
11/19/2020,Aqaba,163,2
11/20/2020,Amman,1688,4
11/20/2020,Zarqa,456,6
11/20/2020,Jerash,244,12
11/20/2020,irbid ,894,7
11/20/2020,Madaba,182,3
11/20/2020,Ajloun,339,9
11/20/2020,Karak,330,11
11/20/2020,Balqa,202,8
11/20/2020,Maan,80,1
11/20/2020,Mafraq,337,10
11/20/2020,Tafilah,95,5
11/20/2020,Aqaba,93,2
11/21/2020,Amman,1543,4
11/21/2020,Zarqa,139,6
11/21/2020,Jerash,18,12
11/21/2020,irbid ,295,7
11/21/2020,Madaba,101,3
11/21/2020,Ajloun,297,9
11/21/2020,Karak,361,11
11/21/2020,Balqa,328,8
11/21/2020,Maan,213,1
11/21/2020,Mafraq,213,10
11/21/2020,Tafilah,129,5
11/21/2020,Aqaba,189,2
11/22/2020,Amman,1699,4
11/22/2020,Zarqa,371,6
11/22/2020,Jerash,661,12
11/22/2020,irbid ,1441,7
11/22/2020,Madaba,23,3
11/22/2020,Ajloun,2,9
11/22/2020,Karak,162,11
11/22/2020,Balqa,372,8
11/22/2020,Maan,85,1
11/22/2020,Mafraq,46,10
11/22/2020,Tafilah,138,5
11/22/2020,Aqaba,268,2
11/23/2020,Amman,1751,4
11/23/2020,Zarqa,636,6
11/23/2020,Jerash,264,12
11/23/2020,irbid ,872,7
11/23/2020,Madaba,94,3
11/23/2020,Ajloun,259,9
11/23/2020,Karak,279,11
11/23/2020,Balqa,266,8
11/23/2020,Maan,135,1
11/23/2020,Mafraq,340,10
11/23/2020,Tafilah,93,5
